,Date time,Solar (kW),Energy Remaining (%),Energy Remaining (%)
,,sum,first,last
0,2023-09-01,13.059999999999999,17.0,50.0
1,2023-09-02,29.78,19.0,100.0
2,2023-09-03,39.089999999999996,22.0,100.0
3,2023-09-04,43.95,22.0,100.0
4,2023-09-05,44.86,21.0,100.0
5,2023-09-06,33.72,17.0,100.0
6,2023-09-07,38.71,24.0,100.0
7,2023-09-08,32.489999999999995,18.0,100.0
8,2023-09-09,38.46,23.0,100.0
9,2023-09-10,9.379999999999999,16.0,31.0
10,2023-09-11,17.73,23.0,94.0
11,2023-09-12,7.06,19.0,30.0
12,2023-09-13,34.82,41.0,100.0
13,2023-09-14,7.57,18.0,32.0
14,2023-09-15,29.82,19.0,100.0
15,2023-09-16,16.830000000000002,18.0,88.0
16,2023-09-17,15.12,20.0,72.0
17,2023-09-18,21.36,19.0,100.0
18,2023-09-19,9.47,21.0,45.0
19,2023-09-20,4.89,20.0,24.0
20,2023-09-21,29.639999999999997,20.0,100.0
21,2023-09-22,28.080000000000002,20.0,100.0
22,2023-09-23,28.669999999999998,19.0,100.0
23,2023-09-24,11.17,20.0,63.0
24,2023-09-25,30.910000000000004,36.0,100.0
25,2023-09-26,20.35,21.0,94.0
26,2023-09-27,6.9,100.0,100.0
27,2023-09-28,10.9,60.0,78.0
28,2023-09-29,38.87,29.0,100.0
29,2023-09-30,12.709999999999999,30.0,76.0
